  yyyy      mm      dd         NEE         GPP         TER          LE    flag
  2012       1       1       0.440       0.284       0.724       0.030       0
  2012       1       2       0.540       0.486       1.026       0.222       0
  2012       1       3       0.716       0.313       1.030       0.002       0
  2012       1       4       0.627       0.468       1.095       0.055       0
  2012       1       5       0.868       0.080       0.948       0.061       0
  2012       1       6       0.077       0.751       0.828       0.372       0
  2012       1       7       0.396       0.394       0.791       0.219       0
  2012       1       8       0.110       0.767       0.877       0.125       0
  2012       1       9       0.239       0.771       1.010       0.182       0
  2012       1      10       0.207       0.732       0.938       0.271       0
  2012       1      11       0.115       1.043       1.158       0.173       0
  2012       1      12       0.509       0.443       0.952       0.351       0
  2012       1      13       0.245       0.694       0.940       0.294       0
  2012       1      14       0.509       0.521       1.030       0.192       0
  2012       1      15       0.516       0.521       1.037       0.120       0
  2012       1      16       0.142       0.630       0.772       0.195       0
  2012       1      17       0.423       0.333       0.756       0.172       0
  2012       1      18       0.277       0.586       0.863       0.256       0
  2012       1      19       0.609       0.264       0.873       0.179       0
  2012       1      20       0.853       0.191       1.043       0.028       0
  2012       1      21       1.004       0.345       1.349       0.240       0
  2012       1      22       0.658       0.828       1.486       0.313       0
  2012       1      23       0.339       0.739       1.078       0.153       0
  2012       1      24       0.281       0.752       1.032       0.045       0
  2012       1      25       0.275       0.612       0.886       0.234       0
  2012       1      26       0.098       0.614       0.712       0.189       0
  2012       1      27       0.065       0.526       0.591       0.198       0
  2012       1      28       0.270       0.307       0.577       0.101       0
  2012       1      29       0.180       0.327       0.507       0.062       0
  2012       1      30       0.916       0.371       1.287       0.086       0
  2012       1      31       0.462       0.159       0.621       0.119       0
  2012       2       1   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       2       2   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       2       3   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       2       4   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       2       5   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       2       6   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       2       7   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       2       8   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       2       9   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       2      10   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       2      11   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       2      12   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       2      13   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       2      14   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       2      15   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       2      16   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       2      17   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       2      18   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       2      19   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       2      20       0.263       0.396       0.660       0.255       0
  2012       2      21       0.517       0.294       0.811       0.450       0
  2012       2      22       0.497       0.381       0.878       0.340       0
  2012       2      23       0.593       0.362       0.955       0.254       0
  2012       2      24       0.361       0.510       0.872       0.491       0
  2012       2      25       1.043       0.667       1.710       0.435       0
  2012       2      26       0.471       0.545       1.016       0.287       0
  2012       2      27       0.208       0.616       0.825       0.416       0
  2012       2      28       0.421       0.399       0.820       0.092       0
  2012       2      29       1.095       0.905       2.000       0.336       0
  2012       3       1       0.458       1.085       1.542       0.146       0
  2012       3       2       1.019       1.193       2.212       0.515       0
  2012       3       3       0.848       1.016       1.865       0.681       0
  2012       3       4       0.043       1.019       1.063       0.478       0
  2012       3       5       0.326       0.870       1.196       0.502       0
  2012       3       6       0.478       0.837       1.315       0.495       0
  2012       3       7       0.206       0.470       0.675       0.332       0
  2012       3       8       0.117       0.888       1.005       0.400       0
  2012       3       9      -0.025       1.098       1.074       0.476       0
  2012       3      10       0.449       1.011       1.460       0.587       0
  2012       3      11       1.073       0.594       1.667       0.219       0
  2012       3      12       1.044       0.590       1.634       0.047       0
  2012       3      13       0.517       1.387       1.904       0.408       0
  2012       3      14       0.166       1.769       1.935       0.505       0
  2012       3      15       0.412       1.703       2.115       0.599       0
  2012       3      16       0.244       1.535       1.779       0.483       0
  2012       3      17       0.908       1.756       2.664       0.687       0
  2012       3      18       0.885       1.659       2.544       0.539       0
  2012       3      19      -0.386       2.395       2.009       0.502       0
  2012       3      20      -0.606       2.823       2.217       0.859       0
  2012       3      21       0.268       2.692       2.960       0.995       0
  2012       3      22      -0.066       2.926       2.861       0.886       0
  2012       3      23       0.009       3.536       3.545       0.854       0
  2012       3      24       0.148       3.509       3.658       0.906       0
  2012       3      25      -0.373       4.010       3.638       1.150       0
  2012       3      26      -0.715       3.039       2.325       0.854       0
  2012       3      27      -1.472       4.040       2.568       1.404       0
  2012       3      28      -1.693       4.342       2.649       1.060       0
  2012       3      29       0.028       3.126       3.155       0.736       0
  2012       3      30       0.353       2.246       2.598       0.348       0
  2012       3      31      -1.879       5.469       3.589       1.439       0
  2012       4       1      -2.075       3.925       1.849       0.868       0
  2012       4       2      -1.823       3.726       1.903       0.912       0
  2012       4       3      -1.644       4.712       3.068       1.198       0
  2012       4       4      -1.513       5.074       3.562       1.154       0
  2012       4       5      -1.560       5.514       3.954       1.246       0
  2012       4       6       1.817       1.514       3.331       0.048       0
  2012       4       7       2.102       1.280       3.382       1.149       0
  2012       4       8      -1.261       4.121       2.861       1.043       0
  2012       4       9      -0.849       3.436       2.586       1.254       0
  2012       4      10      -1.403       4.031       2.628       1.119       0
  2012       4      11      -2.714       5.045       2.331       0.973       0
  2012       4      12      -0.814       3.435       2.621       0.371       0
  2012       4      13      -1.430       5.563       4.133       1.196       0
  2012       4      14       0.886       3.198       4.085       0.124       0
  2012       4      15      -1.468       5.235       3.767       0.354       0
  2012       4      16      -0.391       3.663       3.272       0.408       0
  2012       4      17      -2.404       5.576       3.172       0.967       0
  2012       4      18      -2.231       5.599       3.368       0.857       0
  2012       4      19      -4.172       7.629       3.457       1.407       0
  2012       4      20      -3.302       7.423       4.121       1.344       0
  2012       4      21      -2.392       6.356       3.965       0.839       0
  2012       4      22      -1.016       4.731       3.715       0.532       0
  2012       4      23      -3.809       7.395       3.586       0.974       0
  2012       4      24      -2.960       6.773       3.813       0.612       0
  2012       4      25      -4.338       8.789       4.451       2.042       0
  2012       4      26      -5.087      10.121       5.034       2.478       0
  2012       4      27      -4.817       8.607       3.790       2.461       0
  2012       4      28      -4.396       8.659       4.263       2.372       0
  2012       4      29      -6.780      10.393       3.613       2.607       0
  2012       4      30      -6.309       9.668       3.358       2.703       0
  2012       5       1      -3.619       8.815       5.196       2.805       0
  2012       5       2      -4.568      10.142       5.574       2.899       0
  2012       5       3      -3.377       7.731       4.355       1.086       0
  2012       5       4      -0.910       5.555       4.645       0.711       0
  2012       5       5      -5.536      11.269       5.733       2.516       0
  2012       5       6      -6.022      11.611       5.589       2.154       0
  2012       5       7      -1.552       6.454       4.903       0.780       0
  2012       5       8      -4.539      11.023       6.485       2.654       0
  2012       5       9      -6.838      12.291       5.453       2.248       0
  2012       5      10      -6.109      13.095       6.986       2.653       0
  2012       5      11      -6.404      13.728       7.324       2.453       0
  2012       5      12      -3.041      11.038       7.998       1.494       0
  2012       5      13      -2.685       8.466       5.781       1.701       0
  2012       5      14      -1.911       7.159       5.247       0.614       0
  2012       5      15      -4.420      10.143       5.723       1.881       0
  2012       5      16      -2.677       7.455       4.778       0.899       0
  2012       5      17      -4.086       8.456       4.370       1.535       0
