X,NAME,INDEX,UNIT,MIN,MAX,DEPENDENCE,GROUP,TYPE
1,"yearday to start new growth",9,yday,0,364,NA,0,0
2,"yearday to end new growth",10,yday,0,364,NA,0,0
3,"transfer growth period as fraction of growing season",11,prop,0,1,NA,0,0
4,"litterfall as fraction of growing season",12,prop,0,1,NA,0,0
5,"base temperature",13,Celsius,0,12,NA,0,0
6,"minimum  temperature for growth displayed on current day",14,Celsius,0,10,0,1,1
7,"optimal1 temperature for growth displayed on current day",15,Celsius,10,20,1,1,1
8,"optimal2 temperature for growth displayed on current day",16,Celsius,20,40,2,1,1
9,"maxmimum temperature for growth displayed on current day",17,Celsius,30,50,3,1,1
10,"minimum  temperature for carbon assimilation displayed on current day",18,Celsius,0,10,0,2,1
11,"optimal1 temperature for carbon assimilation displayed on current day",19,Celsius,10,20,1,2,1
12,"optimal2 temperature for carbon assimilation displayed on current day",20,Celsius,20,40,2,2,1
13,"maxmimum temperature for carbon assimilation displayed on current day",21,Celsius,30,50,3,2,1
14,"annual leaf and fine root turnover fraction",22,1/yr,0.1,0.4,NA,0,0
15,"annual live wood turnover fraction",23,1/yr,0.5,1,NA,0,0
16,"annual fire mortality fraction",24,1/yr,0,1,NA,0,0
17,"whole-plant mortality paramter for vegetation period",25,1/vegper,0,0.5,NA,0,0
18,"C:N of leaves",26,kgC/kgN,10,100,0,3,1
19,"C:N of leaf litter",27,kgC/kgN,10,60,1,3,1
20,"C:N of fine roots",28,kgC/kgN,10,60,1,3,1
21,"C:N of fruit",29,kgC/kgN,10,60,1,3,1
22,"C:N of softstem",30,kgC/kgN,10,60,1,3,1
23,"C:N of live wood",31,kgC/kgN,50,100,0,4,1
24,"C:N of dead wood",32,kgC/kgN,300,800,1,4,1
25,"dry matter content of leaves",33,kgC/kgDM,0.2,0.6,NA,0,0
26,"dry matter content of leaf litter",34,kgC/kgDM,0.2,0.6,NA,0,0
27,"dry matter content of fine roots",35,kgC/kgDM,0.2,0.6,NA,0,0
28,"dry matter content of fruit",36,kgC/kgDM,0.2,0.6,NA,0,0
29,"dry matter content of softstem",37,kgC/kgDM,0.2,0.6,NA,0,0
30,"dry matter content of live wood",38,kgC/kgDM,0.2,0.6,NA,0,0
31,"dry matter content of dead wood",39,kgC/kgDM,0.2,0.6,NA,0,0
32,"leaf litter labile proportion",40,prop,0.1,0.6,1,5,2
33,"leaf litter cellulose proportion",41,prop,0.1,0.6,1,5,2
34,"fine root labile proportion",42,prop,0.1,0.6,1,6,2
35,"fine root cellulose proportion",43,prop,0.1,0.6,1,6,2
36,"fruit labile proportion",44,prop,0.1,0.6,1,7,2
37,"fruit cellulose proportion",45,prop,0.1,0.6,1,7,2
38,"softstem labile proportion",46,prop,0.1,0.6,1,8,2
39,"softstem cellulose proportion",47,prop,0.1,0.6,1,8,2
40,"dead wood cellulose proportion",48,prop,0.5,0.9,NA,0,0
41,"canopy water interception coefficient",49,1/LAI/d,0.01,0.1,NA,0,0
42,"canopy light extinction coefficient",50,dimless,0.2,0.8,NA,0,0
43,"potential radiation use efficiency",51,g/MJ,2,2,NA,0,0
44,"radiation parameter1 (Jiang et al.2015)",52,dimless,0.781,0.781,NA,0,0
45,"radiation parameter1 (Jiang et al.2015)",53,dimless,-13.596,-13.596,NA,0,0
46,"all-sided to projected leaf area ratio",54,dimless,2,2,NA,0,0
47,"ratio of shaded SLA:sunlit SLA",55,dimless,2,2,NA,0,0
48,"fraction of leaf N in Rubisco",56,dimless,0.01,0.2,NA,0,0
49,"fraction of leaf N in PeP",57,dimless,0.0424,0.0424,NA,0,0
50,"maximum stomatal conductance",58,m/s,0.001,0.1,NA,0,0
51,"cuticular conductance",59,m/s,1E-05,0.0001,NA,0,0
52,"boundary layer conductance",60,m/s,0.01,0.09,NA,0,0
53,"maximum height of plant",61,m,0.1,10,NA,0,0
54,"stem weight corresponding to maximum height",62,kgC,0.1,100,NA,0,0
55,"plant height function shape parameter (slope)",63,dimless,0.5,0.5,NA,0,0
56,"maximum depth of rooting zone",64,m,0.1,10,NA,0,0
57,"root distribution parameter",65,prop,3.67,3.67,NA,0,0
58,"root weight corresponding to max root depth",66,kgC/m2,0.4,0.4,NA,0,0
59,"root depth function shape parameter (slope)",67,prop,0.5,0.5,NA,0,0
60,"root weight to rooth length conversion factor",68,m/kg,1000,1000,NA,0,0
61,"growth resp per unit of C grown",69,prop,0.1,0.5,NA,0,0
62,"maintenance respiration in kgC/day per kg of tissue N",70,kgC/kgN/d,0.1,0.5,NA,0,0
63,"theoretical maximum prop. of non-structural and structural carbohydrates",71,dimless,0,1,NA,0,0
64,"prop. of non-structural carbohydrates available for maintanance resp",72,dimless,0,1,NA,0,0
65,"symbiotic+asymbiotic fixation of N",73,kgN/m2/yr,0,0.001,NA,0,0
66,"time delay for temperature in photosynthesis acclimation",74,day,0,50,NA,0,0
67,"critical VWCratio (prop. to FC-WP) in germination",79,prop,0,1,NA,0,0
68,"critical photoslow daylength",81,hour,14,18,NA,0,0
69,"slope of relative photoslow development rate",82,dimless,0.005,0.005,NA,0,0
