year	month	day	NEE	GPP	Reco	LHF
2018	11	1	1.17386	1.11641	2.29027	1.19996
2018	11	2	1.78818	1.0685	2.85668	1.01109
2018	11	3	1.22312	1.51053	2.73365	1.2597
2018	11	5	0.46995	1.83587	2.30582	0.92488
2018	11	6	0.42605	1.56278	1.98884	0.95335
2018	11	10	-0.25627	1.76562	1.50935	0.44876
2018	11	11	-0.01647	1.62995	1.61347	0.36336
2018	11	12	0.4311	1.57174	2.00284	0.65014
2018	11	13	-0.00962	1.98173	1.97211	0.64595
2018	11	14	-0.0925	1.97004	1.87754	0.61542
2018	11	15	-0.09838	1.59441	1.49603	0.54212
2018	11	16	-0.69505	2.05861	1.36356	0.53777
2018	11	17	-0.71405	1.90724	1.19319	0.6472
2018	11	18	-0.51323	1.86095	1.34772	0.55262
2018	12	8	-0.05604	1.15603	1.09999	0.20403
2018	12	9	-0.03483	0.98682	0.95199	0.17642
2018	12	10	-0.18302	1.15447	0.97145	0.27826
2018	12	11	0.22402	0.6563	0.88032	0.05476
2018	12	12	-0.21516	1.07502	0.85986	0.14313
2018	12	19	0.52466	0.61177	1.13643	0.00867
2019	1	5	0.51353	0.27994	0.79347	0.00199
2019	1	6	0.4469	0.29791	0.74481	0.22243
2019	1	8	0.40208	0.11735	0.51943	0.00191
2019	1	10	0.3603	0.19306	0.55335	0.02019
2019	1	11	0.48262	0.11348	0.5961	0.06528
2019	1	12	0.44908	0.22222	0.6713	0.04933
2019	1	13	-0.24308	0.9145	0.67142	0.04334
2019	1	14	-0.49433	1.24796	0.75363	0.29514
2019	1	15	-0.07873	0.84226	0.76353	0.44606
2019	1	16	-0.28171	1.09722	0.8155	0.37713
2019	1	17	-0.20574	1.13328	0.92754	0.25584
2019	1	18	-0.15258	0.98911	0.83653	0.29534
2019	1	23	0.47457	0.18991	0.66448	0.01653
2019	1	24	0.38536	0.34076	0.72612	0.13955
2019	1	27	0.03164	0.64454	0.67618	0.14954
2019	1	28	0.17224	0.47317	0.6454	0.011
2019	1	29	-0.07518	0.72476	0.64958	0.09891
2019	2	1	-0.50394	1.0846	0.58066	0.07061
2019	2	9	-0.68888	1.47185	0.78296	0.35887
2019	2	10	0.22455	0.82326	1.0478	0.23331
2019	2	11	0.23531	0.89634	1.13165	1.01597
2019	2	12	-0.16858	1.05615	0.88757	0.49775
2019	2	13	-0.54405	1.40064	0.85658	0.32105
2019	2	14	-0.68818	1.71036	1.02218	1.19924
2019	2	15	-1.18434	2.09571	0.91136	0.95273
2019	2	20	-0.48349	1.49166	1.00816	1.07848
2019	2	21	-0.70868	1.75288	1.04421	1.182
2019	2	22	-0.36266	1.49762	1.13495	0.96428
2019	2	23	-0.55988	1.231	0.67111	1.21435
2019	2	24	-0.49595	1.20687	0.71092	0.91582
2019	2	26	-0.31706	1.56417	1.24712	1.2694
2019	2	27	-0.72476	1.91689	1.19213	1.38146
2019	2	28	0.08166	1.60334	1.685	1.92763
2019	3	1	-0.15055	1.84445	1.6939	1.20167
2019	3	2	-0.90079	2.20993	1.30913	1.09206
2019	3	3	-0.40446	1.85477	1.45031	0.88484
2019	3	4	-0.64463	2.46766	1.82303	1.77444
2019	3	5	-0.76357	2.56337	1.79981	2.01668
2019	3	6	-1.24916	3.00862	1.75946	2.06806
2019	3	7	-0.22277	2.35581	2.13304	1.52378
2019	3	8	-0.84056	2.92221	2.08163	1.83454
2019	3	9	-1.16527	3.1237	1.95845	1.83499
2019	3	10	-0.61715	2.68821	2.07106	1.49708
2019	3	11	-1.89539	3.63047	1.73507	1.98124
2019	3	12	-2.12249	3.59718	1.47466	1.53198
2019	3	13	-0.19181	1.64308	1.45127	0.55468
2019	3	14	-0.44121	2.06874	1.62753	1.49069
2019	3	15	-0.94859	2.93051	1.98193	2.34558
2019	3	16	-1.29623	3.20643	1.9102	2.05402
2019	3	17	-1.76139	4.08815	2.32676	2.66269
2019	3	18	0.02664	1.82108	1.84773	0.81261
2019	3	19	-2.27775	3.9376	1.65984	1.50494
2019	3	20	-3.41107	5.05562	1.64455	2.5557
2019	3	21	-3.45735	5.31917	1.86178	2.81607
2019	3	23	-3.58213	6.08766	2.50553	3.30523
2019	3	24	-3.64722	6.47981	2.83257	3.48131
2019	3	25	-2.39958	4.88914	2.48956	2.04051
2019	3	26	-4.32027	6.34207	2.02185	2.70344
2019	3	27	-4.62749	6.66802	2.04054	3.08448
2019	3	28	-3.97109	5.93899	1.96789	3.04033
2019	3	29	-5.00692	7.10421	2.0973	3.71022
2019	3	30	-5.29777	7.66788	2.37015	4.06647
2019	3	31	-4.31668	7.04539	2.72869	4.57642
2019	4	1	-5.73813	8.51214	2.77403	4.61608
2019	4	2	-5.50657	8.12504	2.61852	4.56671
2019	4	3	-6.29384	9.20342	2.90957	4.65151
2019	4	4	-5.37285	8.67845	3.30563	4.53683
2019	4	5	-3.34983	6.6031	3.2533	2.42068
2019	4	6	-4.65525	8.02805	3.37274	2.92016
2019	4	7	-6.0247	9.91791	3.89328	3.75006
2019	4	8	-5.51576	9.90817	4.39238	4.58107
2019	4	9	-5.45719	10.30009	4.84291	4.62059
2019	4	10	-5.96276	11.14495	5.18217	4.7456
2019	4	11	-4.56107	9.05577	4.49474	1.93524
2019	4	12	-3.3562	7.31436	3.95816	1.94652
2019	4	13	-7.14584	10.83081	3.68497	1.60358
2019	4	14	-2.86882	6.58934	3.72049	1.30571
2019	4	15	-7.22098	11.11715	3.89615	6.4044
2019	4	16	-6.30421	10.05126	3.74703	5.97557
2019	4	17	-6.79115	10.45624	3.66512	4.70909
2019	4	18	-7.5107	11.19128	3.68056	5.34492
2019	4	19	-7.81178	11.60984	3.79806	7.02098
2019	4	20	-7.97642	11.41017	3.4337	7.46617
2019	4	21	-8.00512	11.74565	3.74056	7.25099
2019	4	22	-8.87006	12.81242	3.94234	5.42829
2019	4	23	-1.71099	5.08733	3.37634	0.75484
2019	4	24	-7.91488	12.20712	4.29222	4.33704
2019	4	25	-8.78628	13.77026	4.98397	6.05447
2019	4	26	-9.2442	14.82417	5.57995	6.26088
2019	4	27	-6.61341	11.03752	4.42404	2.77186
2019	4	28	-6.7338	11.20039	4.4666	2.59882
2019	4	29	-3.64092	7.93526	4.29434	0.91238
2019	4	30	-10.83447	15.45841	4.6239	2.99662
2019	5	1	-8.56796	13.8223	5.25434	5.02751
2019	5	2	-9.2597	14.85105	5.59137	6.08281
2019	5	3	-10.08834	15.08425	4.99595	3.16846
2019	5	4	-3.15961	7.57243	4.41282	0.2769
2019	5	5	0.23631	3.59293	3.82924	-0.02918
2019	5	6	-2.38952	5.69494	3.30537	0.20404
2019	5	7	-9.50896	13.58517	4.07621	3.78272
2019	5	8	-9.76156	14.7912	5.02968	4.4475
2019	5	9	-0.12369	4.94292	4.81923	0.32562
2019	5	10	-8.36025	13.93246	5.57224	3.91734
2019	5	11	-9.4828	15.89813	6.41534	5.2236
2019	5	12	-8.37367	14.86717	6.49349	3.45066
2019	5	13	-9.27375	14.94528	5.67145	3.31095
2019	5	14	-1.80064	5.95039	4.14973	0.10134
2019	5	15	-0.02108	4.48552	4.46445	0.13754
2019	5	16	-4.74338	9.34085	4.59748	1.56592
2019	5	17	-8.13516	13.06501	4.92986	2.39332
2019	5	18	-11.10356	17.27009	6.16651	5.69495
2019	5	19	-6.60776	13.12794	6.52021	4.40172
2019	5	21	-12.58015	18.86514	6.28503	6.13834
2019	5	24	-10.45636	16.27153	5.81521	5.57303
2019	5	26	-9.63911	16.63763	6.99849	8.52853
2019	5	29	-4.11328	10.12465	6.01135	2.84938
2019	5	30	-0.11443	4.80121	4.68678	0.01496
2019	5	31	-9.19097	14.80378	5.61283	5.26336
2019	6	1	-8.29112	14.76966	6.47857	8.62883
2019	6	2	-5.47766	12.18176	6.70415	6.47337
2019	6	3	-6.77635	13.79918	7.02282	8.95579
2019	6	4	-5.94232	13.20632	7.26402	6.8735
2019	6	5	-6.94513	14.18931	7.24418	6.68247
2019	6	6	-3.15073	10.88898	7.73826	3.24139
2019	6	7	-6.31922	13.85653	7.53737	8.1197
2019	6	8	-6.93789	13.98546	7.04756	9.672
2019	6	9	-6.15306	13.30662	7.15353	8.44479
2019	6	10	-5.41898	12.65683	7.23786	9.41835
2019	6	11	-5.38876	12.25002	6.86127	10.00973
2019	6	12	-4.72238	11.63656	6.91415	10.08603
2019	6	13	-3.79736	10.37832	6.58094	9.83506
2019	6	14	-3.37503	9.63459	6.2596	10.17195
2019	6	15	-3.03168	9.10797	6.07628	9.20586
2019	6	16	0.54712	6.31996	6.86704	6.30718
2019	6	17	-1.07724	7.12056	6.04336	6.95436
2019	6	18	-0.17085	6.32278	6.15198	9.76121
2019	6	19	0.75884	5.52211	6.28094	5.75402
2019	6	20	0.38044	6.29368	6.67412	5.74694
2019	6	21	1.76252	5.51677	7.27932	7.15172
2019	6	22	3.01631	4.13037	7.14665	6.03898
2019	6	23	4.3492	1.45383	5.80304	2.92158
2019	6	24	4.07985	1.83065	5.91051	5.39187
2019	6	25	3.98373	2.08911	6.07285	5.19348
2019	6	26	4.37366	1.75298	6.12664	5.25413
2019	6	27	4.87268	1.29119	6.16387	5.7287
2019	6	28	2.95879	2.08458	5.04336	5.90825
