ABREVIATION,INDEX,min,max  
LEAFCN,29,10,40
FINEROOTCN,31,10,50
STEMCN,33,10,60
CLEC,53,0.4,0.8   
FLNR,59,0.1,0.4
MSTOMACOND,61,0.001,0.015
ROOTDEPTH,67,0.5,3
ROOTDISTRIB,68,1.,5.5
ROOTWCORRMAXROOTD,69,0.05,0.5
ROOTDEPTHSHAPE,70,0.1,3.
GROTHRESP,72,0.2,0.5
MAINTRESP,73,0.1,0.5
SWCLIMITFCWP,99,0.,1.
VPDLIMIT1,102, 1000.,4000.
VPDLIMIT2,103, 2000.,5000.
VernalizationSlope,91,0.01,1
VernalizationDays,92,1,200
PHENOPHLENGT2,131.61,0,600
PHENOPHLENGT3,131.62,0,1000
PHENOPHLENGT4,131.63,0,2000
PHENOPHLENGT5,131.64,0,2000
PHENOPHLENGT6,131.65,0,5000
PHENOPHLENGT7,131.66,0,5000
LeafAll2,132.61,0,1
FineRootAll2,133.61,0,1
FruitAll2,134.61,0,1
StemAll2,135.61,0,1
LeafAll3,132.62,0,1
FineRootAll3,133.62,0,1
FruitAll3,134.62,0,1
StemAll3,135.62,0,1
LeafAll4,132.63,0,1
FineRootAll4,133.63,0,1
FruitAll4,134.63,0,1
StemAll4,135.63,0,1
LeafAll5,132.64,0,1
FineRootAll5,133.64,0,1
FruitAll5,134.64,0,1
StemAll5,135.64,0,1
LeafAll6,132.65,0,1
FineRootAll6,133.65,0,1
FruitAll6,134.65,0,1
StemAll6,135.65,0,1
LeafAll7,132.66,0,1
FineRootAll7,133.66,0,1
FruitAll7,134.66,0,1
StemAll7,135.66,0,1
SLA1,140.60,20.,70.
SLA2,140.61,20.,70.
SLA3,140.62,20.,70.
SLA4,140.63,20.,70.
SLA5,140.64,20.,70.
SLA6,140.65,20.,70.
lifeTime2,142.61,500,1100
lifeTime3,142.62,500,1100
lifeTime4,142.63,500,1100
lifeTime5,142.64,500,1100
lifeTime6,142.65,500,1100

